trip_start_timestamp,trip_seconds,trip_miles,fare,tip,additional_charges,trip_total,shared_trip_authorized,trips_pooled,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,date,weekday
2022-09-03 21:45:00,201.0,0.7,12.5,0.0,3.26,15.76,0,1,41.870415,-87.67508562,41.870415,-87.67508562,2022-09-03,Saturday
2022-09-03 21:45:00,386.0,0.5,12.5,0.0,3.26,15.76,0,1,41.89321636,-87.63784421,41.89204214,-87.63186395,2022-09-03,Saturday
2022-09-03 21:45:00,1610.0,11.2,30.0,5.0,5.22,40.22,0,1,41.88528132,-87.6572332,42.00169819,-87.67357403,2022-09-03,Saturday
2022-09-03 21:45:00,398.0,0.7,7.5,3.0,3.32,13.82,0,1,41.89250778,-87.62621491,41.89321636,-87.63784421,2022-09-03,Saturday
2022-09-03 21:45:00,842.0,5.0,12.5,3.0,5.03,20.53,0,1,41.9002213,-87.62910519,41.85630982,-87.64420929,2022-09-03,Saturday
2022-09-03 21:45:00,1467.0,15.2,17.5,0.0,11.48,28.98,0,1,,,41.98026431,-87.9136246,2022-09-03,Saturday
2022-09-03 21:45:00,642.0,2.5,22.5,5.0,3.26,30.76,0,1,,,42.00157103,-87.69501259,2022-09-03,Saturday
2022-09-03 21:45:00,1309.0,6.2,17.5,3.0,3.97,24.47,0,1,41.89915561,-87.62621053,41.92101961,-87.71035914,2022-09-03,Saturday
2022-09-03 21:45:00,400.0,2.2,10.0,0.0,4.25,14.25,0,1,41.92929737,-87.79803218,,,2022-09-03,Saturday
2022-09-03 21:45:00,985.0,7.0,12.5,0.0,4.15,16.65,0,1,41.9000696,-87.72091824,41.87886558,-87.62519214,2022-09-03,Saturday
2022-09-03 21:45:00,266.0,1.3,7.5,0.0,1.81,9.31,1,1,41.92726096,-87.76550161,41.92726096,-87.76550161,2022-09-03,Saturday
2022-09-03 21:45:00,768.0,4.1,12.5,3.0,4.36,19.86,0,1,41.88099447,-87.63274649,41.9049353,-87.64990723,2022-09-03,Saturday
2022-09-03 21:45:00,376.0,1.5,15.0,0.0,3.26,18.26,0,1,41.93573609,-87.69894692,41.93740179,-87.7223303,2022-09-03,Saturday
2022-09-03 21:45:00,582.0,1.2,12.5,3.0,2.91,18.41,0,1,41.89321636,-87.63784421,41.89092203,-87.61886835,2022-09-03,Saturday
2022-09-03 21:45:00,1965.0,13.6,20.0,0.0,5.21,25.21,1,1,41.88498719,-87.62099291,41.74688325,-87.57260731,2022-09-03,Saturday
2022-09-03 21:45:00,1057.0,3.7,15.0,0.0,3.32,18.32,0,1,41.9208017,-87.69453234,41.94906053,-87.6616429,2022-09-03,Saturday
2022-09-03 21:45:00,1155.0,7.3,15.0,0.0,4.24,19.24,0,1,41.97732258,-87.75222337,42.01604649,-87.67333378,2022-09-03,Saturday
2022-09-03 21:45:00,740.0,6.3,25.0,6.0,4.25,35.25,0,1,41.94287254,-87.70133029,41.89204214,-87.63186395,2022-09-03,Saturday
2022-09-03 21:45:00,1649.0,13.6,25.0,4.0,3.26,32.26,0,1,41.79259236,-87.76961545,41.89960211,-87.63330804,2022-09-03,Saturday
2022-09-03 21:45:00,495.0,2.2,17.5,0.0,3.26,20.76,0,1,41.95040441,-87.70200713,41.96683407,-87.68401837,2022-09-03,Saturday
2022-09-03 21:45:00,709.0,4.8,12.5,3.0,3.65,19.15,0,1,41.93631013,-87.65156259,41.98722556,-87.66493772,2022-09-03,Saturday
2022-09-03 21:45:00,1108.0,5.1,27.5,5.0,3.26,35.76,0,1,41.89092203,-87.61886835,41.92187746,-87.66407824,2022-09-03,Saturday
2022-09-03 21:45:00,524.0,2.8,7.5,0.0,3.11,10.61,0,1,41.90602597,-87.67531162,41.88528132,-87.6572332,2022-09-03,Saturday
