trip_start_timestamp,trip_seconds,trip_miles,fare,tip,additional_charges,trip_total,shared_trip_authorized,trips_pooled,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,date,weekday
2022-12-10 16:30:00,216.0,0.6,12.5,0.0,2.91,15.41,0,1,41.89204214,-87.63186395,41.89915561,-87.62621053,2022-12-10,Saturday
2022-12-10 16:30:00,1917.0,21.3,27.5,0.0,1.24,28.74,0,1,,,41.76157791,-87.57278199,2022-12-10,Saturday
2022-12-10 16:30:00,799.0,1.9,20.0,0.0,2.91,22.91,0,1,41.89204214,-87.63186395,41.87906699,-87.65700503,2022-12-10,Saturday
2022-12-10 16:30:00,218.0,0.7,10.0,1.0,1.24,12.24,0,1,41.94323712,-87.64347096,41.93476246,-87.63985386,2022-12-10,Saturday
2022-12-10 16:30:00,3522.0,11.8,25.0,0.0,5.28,30.28,0,1,,,41.93608654,-87.66611069,2022-12-10,Saturday
2022-12-10 16:30:00,2852.0,10.6,40.0,8.0,1.24,49.24,0,1,41.97517094,-87.68751552,,,2022-12-10,Saturday
2022-12-10 16:30:00,1521.0,11.2,22.5,0.0,5.4,27.9,0,1,,,,,2022-12-10,Saturday
2022-12-10 16:30:00,1159.0,5.2,15.0,0.0,4.05,19.05,0,1,42.00560802,-87.81309813,42.00560802,-87.81309813,2022-12-10,Saturday
2022-12-10 16:30:00,3172.0,15.6,57.5,0.0,11.28,68.78,0,1,41.92904694,-87.65131088,41.97907082,-87.90303966,2022-12-10,Saturday
2022-12-10 16:30:00,772.0,6.3,10.0,0.0,0.63,10.63,1,1,41.6738199,-87.63573978,41.7632468,-87.61613411,2022-12-10,Saturday
2022-12-10 16:30:00,1243.0,3.9,12.5,0.0,3.39,15.89,0,1,41.87417663,-87.66186112,41.89915561,-87.62621053,2022-12-10,Saturday
2022-12-10 16:30:00,2207.0,14.1,27.5,8.0,11.67,47.17,0,1,,,41.98026431,-87.9136246,2022-12-10,Saturday
2022-12-10 16:30:00,794.0,2.5,25.0,0.0,3.05,28.05,0,1,41.93465916,-87.64672973,41.90156691,-87.63840401,2022-12-10,Saturday
2022-12-10 16:30:00,953.0,3.4,22.5,0.0,3.28,25.78,0,1,41.88498719,-87.62099291,41.91461629,-87.63171737,2022-12-10,Saturday
2022-12-10 16:30:00,1097.0,5.9,25.0,6.0,3.9,34.9,0,1,41.96217863,-87.64537876,41.89321636,-87.63784421,2022-12-10,Saturday
2022-12-10 16:30:00,790.0,1.8,12.5,0.0,2.91,15.41,0,1,41.91458571,-87.64596621,41.94258518,-87.65664409,2022-12-10,Saturday
2022-12-10 16:30:00,491.0,2.5,12.5,0.0,1.24,13.74,0,1,41.79235722,-87.61793138,41.77719625,-87.64249753,2022-12-10,Saturday
