trip_start_timestamp,trip_seconds,trip_miles,fare,tip,additional_charges,trip_total,shared_trip_authorized,trips_pooled,pickup_centroid_latitude,pickup_centroid_longitude,dropoff_centroid_latitude,dropoff_centroid_longitude,date,weekday
2022-12-26 05:00:00,2077.0,36.0,42.5,8.0,36.58,87.08,0,1,,,41.97907082,-87.90303966,2022-12-26,Monday
2022-12-26 05:00:00,1352.0,9.6,20.0,0.0,9.83,29.83,0,1,41.9000696,-87.72091824,41.79259236,-87.76961545,2022-12-26,Monday
2022-12-26 05:00:00,912.0,6.2,12.5,5.0,3.86,21.36,0,1,41.76977806,-87.72692984,41.83908691,-87.71400381,2022-12-26,Monday
2022-12-26 05:15:00,823.0,9.9,17.5,0.0,9.91,27.41,0,1,41.95358213,-87.72345239,41.98026431,-87.9136246,2022-12-26,Monday
2022-12-26 05:15:00,213.0,1.0,7.5,5.0,1.24,13.74,0,1,41.9386662,-87.71121059,41.92276062,-87.69915534,2022-12-26,Monday
2022-12-26 05:15:00,740.0,6.4,12.5,0.0,4.01,16.51,0,1,41.70612575,-87.59825584,41.77719625,-87.64249753,2022-12-26,Monday
2022-12-26 05:15:00,822.0,4.4,10.0,0.0,3.52,13.52,0,1,41.92726096,-87.76550161,41.92276062,-87.69915534,2022-12-26,Monday
2022-12-26 05:15:00,912.0,8.6,12.5,0.0,11.89,24.39,0,1,,,41.98026431,-87.9136246,2022-12-26,Monday
2022-12-26 05:15:00,342.0,1.5,10.0,0.0,2.91,12.91,0,1,42.00157103,-87.69501259,41.9867118,-87.66341641,2022-12-26,Monday
2022-12-26 05:30:00,972.0,10.2,32.5,0.0,1.24,33.74,0,1,41.74419953,-87.58634832,41.87886558,-87.62519214,2022-12-26,Monday
2022-12-26 05:30:00,922.0,6.8,20.0,3.0,4.12,27.12,0,1,,,41.95358213,-87.72345239,2022-12-26,Monday
2022-12-26 05:30:00,1433.0,11.1,15.0,0.0,5.17,20.17,0,1,,,41.83908691,-87.71400381,2022-12-26,Monday
2022-12-26 05:30:00,1988.0,27.6,35.0,0.0,27.07,62.07,0,1,,,41.87400538,-87.66351755,2022-12-26,Monday
2022-12-26 05:30:00,1670.0,17.7,17.5,0.0,2.75,20.25,1,2,,,41.89960211,-87.63330804,2022-12-26,Monday
2022-12-26 05:30:00,625.0,4.0,10.0,0.0,3.28,13.28,0,1,,,41.89060885,-87.75604671,2022-12-26,Monday
2022-12-26 05:45:00,1428.0,14.2,32.5,0.0,1.24,33.74,0,1,41.77719625,-87.64249753,41.97517094,-87.68751552,2022-12-26,Monday
2022-12-26 05:45:00,1030.0,5.4,15.0,0.0,1.24,16.24,0,1,41.9000696,-87.72091824,41.87400538,-87.66351755,2022-12-26,Monday
2022-12-26 05:45:00,1774.0,16.5,30.0,6.0,13.93,49.93,0,1,41.93057857,-87.64220631,41.97907082,-87.90303966,2022-12-26,Monday
2022-12-26 05:45:00,113.0,0.4,5.0,0.0,3.66,8.66,0,1,41.86019002,-87.7172201,41.86019002,-87.7172201,2022-12-26,Monday
2022-12-26 05:45:00,546.0,4.7,17.5,5.0,1.24,23.74,0,1,41.8789145,-87.70589713,41.87400538,-87.66351755,2022-12-26,Monday
2022-12-26 05:45:00,798.0,4.6,12.5,0.0,1.24,13.74,0,1,41.9442266,-87.65599818,41.89960211,-87.63330804,2022-12-26,Monday
2022-12-26 05:45:00,1151.0,10.3,20.0,0.0,6.75,26.75,0,1,41.9867118,-87.66341641,41.87400538,-87.66351755,2022-12-26,Monday
2022-12-26 06:00:00,2257.0,35.2,42.5,14.0,25.87,82.37,0,1,,,41.78599852,-87.75093429,2022-12-26,Monday
