Trip ID,Trip Start Timestamp,Trip End Timestamp,Trip Seconds,Trip Miles,Pickup Census Tract,Dropoff Census Tract,Pickup Community Area,Dropoff Community Area,Fare,Tip,Additional Charges,Trip Total,Shared Trip Authorized,Trips Pooled,Pickup Centroid Latitude,Pickup Centroid Longitude,Pickup Centroid Location,Dropoff Centroid Latitude,Dropoff Centroid Longitude,Dropoff Centroid Location,len_date
6bd1de9ea75f244350d030be58cb4738127c506f,06/02/2022 20:15,06/02/2022 20:30,1281.0,5.6,17031242400.0,17031061901.0,24.0,6.0,12.5,0.0,3.81,16.31,0,1,41.89942225,-87.68449012,POINT (-87.684490122 41.8994222543),41.94323712,-87.64347096,POINT (-87.6434709559 41.9432371225),16
74ee03deefb5d26e4f6eaf2c3ad2dea6f32b0ec6,06/02/2022 20:15,06/02/2022 20:30,593.0,2.3,17031081402.0,17031281900.0,8.0,28.0,10.0,5.0,4.75,19.75,0,1,41.89197151,-87.61294541,POINT (-87.6129454143 41.8919715078),41.87925508,-87.642649,POINT (-87.642648998 41.8792550844),16
7e0d8a41a4157f235d5e7a434c15acf6d15128fd,06/02/2022 20:15,06/02/2022 20:45,1795.0,9.6,,,10.0,6.0,12.5,0.0,4.82,17.32,0,1,41.9850151,-87.80453201,POINT (-87.8045320063 41.9850151008),41.9442266,-87.65599818,POINT (-87.6559981815 41.9442266014),16
8771fef1b0bcd5a8e53fe2c58ab33af8a759eb3d,06/02/2022 20:15,06/02/2022 20:30,542.0,3.1,,,7.0,8.0,10.0,0.0,4.95,14.95,0,1,41.92268628,-87.64948873,POINT (-87.6494887289 41.9226862843),41.89960211,-87.63330804,POINT (-87.6333080367 41.899602111),16
912891af6db74feb5199e69aba1a4032ef9c3fcd,06/02/2022 20:15,06/02/2022 20:45,1656.0,12.5,,,,6.0,22.5,5.0,1.28,28.78,0,1,,,,41.9442266,-87.65599818,POINT (-87.6559981815 41.9442266014),16
9a230ac5501f0a2fff8b99d9a1714ee14ddef844,06/02/2022 20:15,06/02/2022 20:30,681.0,3.5,,,49.0,75.0,7.5,0.0,3.3,10.8,0,1,41.70658788,-87.62336651,POINT (-87.6233665115 41.7065878819),41.68972991,-87.6690544,POINT (-87.6690544032 41.6897299145),16
a53581a778cbd5199b0aa700ab6e8987f1694337,06/02/2022 20:15,06/02/2022 20:30,349.0,0.7,17031063400.0,17031061901.0,6.0,6.0,5.0,3.0,2.91,10.91,0,1,41.93465916,-87.64672973,POINT (-87.6467297286 41.9346591566),41.94323712,-87.64347096,POINT (-87.6434709559 41.9432371225),16
ae8986330af6f01540d2520d20da220c6e551baa,06/02/2022 20:15,06/02/2022 20:15,489.0,1.8,17031081000.0,17031320100.0,8.0,32.0,7.5,0.0,4.74,12.24,0,1,41.90026569,-87.63210922,POINT (-87.6321092196 41.9002656868),41.88498719,-87.62099291,POINT (-87.6209929134 41.8849871918),16
b946833cd0fb37009b7db2b5148c0ff45c99e66f,06/02/2022 20:15,06/02/2022 20:30,862.0,3.5,17031832600.0,17031081403.0,7.0,8.0,15.0,5.0,1.28,21.28,0,1,41.9147473,-87.65400703,POINT (-87.6540070286 41.9147473049),41.89092203,-87.61886835,POINT (-87.6188683546 41.8909220259),16
c387ad5cd65a2f23425f2ad88e0e018c2a61e8e6,06/02/2022 20:15,06/02/2022 20:30,734.0,3.3,17031242100.0,17031081100.0,24.0,8.0,12.5,0.0,1.28,13.78,0,1,41.89967018,-87.6698378,POINT (-87.6698377982 41.8996701799),41.9002213,-87.62910519,POINT (-87.6291051864 41.9002212967),16
ce8de315d97d28ade8f419c3c4bd7a3c577e7d05,06/02/2022 20:15,06/02/2022 20:30,892.0,3.1,17031833000.0,17031081300.0,28.0,8.0,12.5,3.0,4.94,20.44,0,1,41.88528132,-87.6572332,POINT (-87.6572331997 41.8852813201),41.89833179,-87.62076287,POINT (-87.6207628651 41.8983317935),16
da9745aaf4219f96f5310ee3f1daac425c0af02c,06/02/2022 20:15,06/02/2022 20:45,2299.0,18.2,17031980000.0,17031081403.0,76.0,8.0,67.5,0.0,13.7,81.2,0,1,41.97907082,-87.90303966,POINT (-87.9030396611 41.9790708201),41.89092203,-87.61886835,POINT (-87.6188683546 41.8909220259),16
